chiusura_max.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0.194	-0.10071	-0.20142	-2.01416	-1.40991	2.71912
0.1945	-0.10071	-2.81982	-6.54602	-9.26514	22.25647
0.195	-1.51062	-4.63257	-8.35876	-14.19983	30.2124
0.1955	2.71912	-3.22266	-3.12195	-21.14868	27.6947
0.196	0.90637	-2.71912	-3.52478	-24.27063	26.48621
0.1965	-0.50354	-4.53186	-6.14319	-25.88196	21.45081
0.197	-2.71912	-8.66089	-3.92761	-15.40833	10.0708
0.1975	-9.76868	-3.02124	-0.10071	-12.5885	11.98425
0.198	-3.92761	-3.62549	0.80566	-10.0708	15.40833
0.1985	-7.35168	-8.56018	-3.02124	-7.95593	9.36584
0.199	-5.74036	-6.2439	3.42407	-10.77576	9.76868
0.1995	-7.35168	-7.35168	-4.02832	2.01416	6.2439
0.2	-6.94885	-5.33752	-1.91345	-0.50354	-0.20142
0.2005	-12.18567	-10.27222	3.7262	7.95593	-7.04956
0.201	-7.5531	-20.24231	-0.10071	10.87646	3.32336
0.2015	-5.74036	-9.76868	0.50354	16.3147	4.33044
0.202	-8.96301	-12.99133	-1.61133	11.07788	3.32336
0.2025	-11.98425	-10.0708	0.20142	7.75452	1.2085
0.203	-6.64673	-11.07788	-5.63965	10.97717	5.13611
0.2035	-7.15027	-7.95593	3.42407	3.02124	-2.31628
0.204	-7.95593	-3.12195	0.50354	3.8269	-1.10779
0.2045	-5.33752	-2.92053	-0.30212	0.10071	-4.93469
0.205	-7.95593	3.7262	-2.5177	5.53894	-6.74744
0.2055	0.10071	-0.50354	-5.94177	1.40991	-7.95593
0.206	-5.53894	-2.92053	-6.04248	11.78284	-11.58142
0.2065	-5.74036	3.92761	1.51062	5.43823	-12.5885
0.207	-5.13611	7.04956	-0.80566	5.0354	-13.19275
